Membership No	Year	Bundle Name	On Trial	Trial Expiration Date	Amount
1051600	2014	BLOOD-ARCHIVE-ONLY	N		750
1051600	2015	BLOOD-ARCHIVE-ONLY	N		750
1051600	2016	BLOOD-ARCHIVE-ONLY	N		750
1050968	2013	BLOOD-ARCHIVE-ONLY	N		750
1050968	2014	BLOOD-ARCHIVE-ONLY	N		750
1050968	2015	BLOOD-ARCHIVE-ONLY	N		750
1050968	2016	BLOOD-ARCHIVE-ONLY	N		750
1046222	2013	ASH-ALL	N		1500
1046222	2014	ASH-ALL	N		1500
1046222	2015	ASH-ALL	N		1500
1046222	2016	ASH-ALL	N		1500
1051437	2013	BLOOD-ARCHIVE-ONLY	N		750
1051437	2014	BLOOD-ARCHIVE-ONLY	N		750
1051437	2015	BLOOD-ARCHIVE-ONLY	N		750
1051437	2016	BLOOD-ARCHIVE-ONLY	N		750
1051864	2013	BLOOD-ONLY	N		1100
1051864	2014	BLOOD-ONLY	N		1100
1051864	2015	BLOOD-ONLY	N		1100
1051864	2016	BLOOD-ONLY	N		1100
1048552	2013	ASH-ALL	N		1500
1048552	2014	ASH-ALL	N		1500
1048552	2015	ASH-ALL	N		1500
1048552	2016	ASH-ALL	N		1500
1047632	2013	ASH-ALL	N		1500
1047632	2014	ASH-ALL	N		1500
1047632	2015	ASH-ALL	N		1500
1047632	2016	ASH-ALL	N		1500
1051590	2013	BLOOD-ARCHIVE-ONLY	N		750
1051590	2014	BLOOD-ARCHIVE-ONLY	N		750
1051590	2015	BLOOD-ARCHIVE-ONLY	N		750
1051590	2016	BLOOD-ARCHIVE-ONLY	N		750
1047564	2013	BLOOD-ARCHIVE-ONLY	N		750
1047564	2014	BLOOD-ARCHIVE-ONLY	N		750
1047564	2015	BLOOD-ARCHIVE-ONLY	N		750
1047564	2016	BLOOD-ARCHIVE-ONLY	N		750
1047704	2013	BLOOD-ONLY	N		1100
1047704	2014	BLOOD-ONLY	N		1100
1047704	2015	BLOOD-ONLY	N		1100
1047704	2016	BLOOD-ONLY	N		1100
1047642	2013	ASH-ALL	N		1500
1047642	2014	ASH-ALL	N		1500
1047642	2015	ASH-ALL	N		1500
1047642	2016	ASH-ALL	N		1500
1051436	2013	ASH-ALL	N		1500
1051436	2014	ASH-ALL	N		1500
1051436	2015	ASH-ALL	N		1500
1051436	2016	ASH-ALL	N		1500
1047698	2013	BLOOD-ARCHIVE-ONLY	N		750
1047698	2014	BLOOD-ARCHIVE-ONLY	N		750
1047698	2015	BLOOD-ARCHIVE-ONLY	N		750
1047698	2016	BLOOD-ARCHIVE-ONLY	N		750
1047651	2013	ASH-ALL	N		1500
1047651	2014	ASH-ALL	N		1500
1047651	2015	ASH-ALL	N		1500
1047651	2016	ASH-ALL	N		1500
1048725	2013	ASH-ALL	N		1500
1048725	2014	ASH-ALL	N		1500
1048725	2015	ASH-ALL	N		1500
1048725	2016	ASH-ALL	N		1500
1047727	2013	BLOOD-ONLY	N		1100
1047727	2014	BLOOD-ONLY	N		1100
1047727	2015	BLOOD-ONLY	N		1100
1047727	2016	BLOOD-ONLY	N		1100
1003707	2013	ASH-ALL	N		1500
1003707	2014	ASH-ALL	N		1500
1003707	2015	ASH-ALL	N		1500
1003707	2016	ASH-ALL	N		1500
1051868	2013	ASH-ALL	N		1500
1051868	2014	ASH-ALL	N		1500
1051868	2015	ASH-ALL	N		1500
1051868	2016	ASH-ALL	N		1500
1051049	2013	ASH-ALL	N		1500
1051049	2014	ASH-ALL	N		1500
1051049	2015	ASH-ALL	N		1500
1051049	2016	ASH-ALL	N		1500
1050694	2013	BLOOD-ARCHIVE-ONLY	N		750
1050694	2014	BLOOD-ARCHIVE-ONLY	N		750
